,date_open,date_close,diff
0,2017-06-09 17:10:00,2017-06-15 17:20:00,0
1,2017-06-15 17:20:00,2017-06-26 16:30:00,1
2,2017-06-26 16:30:00,2017-07-04 19:20:00,0
3,2017-07-04 19:20:00,2017-07-27 18:30:00,1
4,2017-07-27 18:30:00,2017-07-27 20:30:00,0
5,2017-07-27 20:30:00,2017-08-08 19:10:00,1
6,2017-08-08 19:10:00,2017-08-11 11:30:00,0
7,2017-08-11 11:30:00,2017-08-16 19:20:00,1
8,2017-08-16 19:20:00,2017-08-21 17:20:00,0
9,2017-08-21 17:20:00,2017-09-01 15:30:00,1
10,2017-09-01 15:30:00,2017-09-05 20:00:00,0
11,2017-09-05 20:00:00,2017-09-12 16:30:00,1
12,2017-09-12 16:30:00,2017-09-15 01:00:00,0
13,2017-09-15 01:00:00,2017-09-18 16:50:00,1
14,2017-09-18 16:50:00,2017-09-25 21:30:00,0
15,2017-09-25 21:30:00,2017-10-18 16:20:00,1
16,2017-10-18 16:20:00,2017-10-25 19:30:00,0
17,2017-10-25 19:30:00,2017-11-01 13:00:00,1
18,2017-11-01 13:00:00,2017-11-02 18:30:00,0
19,2017-11-02 18:30:00,2017-11-09 04:40:00,1
20,2017-11-09 04:40:00,2017-11-15 17:40:00,0
21,2017-11-15 17:40:00,2017-11-28 23:10:00,1
22,2017-11-28 23:10:00,2017-12-05 14:20:00,0
23,2017-12-05 14:20:00,2017-12-19 11:50:00,1
24,2017-12-19 11:50:00,2018-01-02 12:50:00,0
25,2018-01-02 12:50:00,2018-01-29 04:10:00,1
26,2018-01-29 04:10:00,2018-02-09 21:30:00,0
27,2018-02-09 21:30:00,2018-02-21 22:20:00,1
28,2018-02-21 22:20:00,2018-02-22 04:20:00,0
29,2018-02-22 04:20:00,2018-02-27 03:40:00,1
30,2018-02-27 03:40:00,2018-03-02 16:40:00,0
31,2018-03-02 16:40:00,2018-03-13 16:40:00,1
32,2018-03-13 16:40:00,2018-04-04 13:20:00,0
33,2018-04-04 13:20:00,2018-04-18 21:50:00,1
34,2018-04-18 21:50:00,2018-04-25 17:00:00,0
35,2018-04-25 17:00:00,2018-04-27 16:00:00,1
36,2018-04-27 16:00:00,2018-05-03 17:50:00,0
37,2018-05-03 17:50:00,2018-05-14 17:40:00,1
38,2018-05-14 17:40:00,2018-05-23 12:40:00,0
39,2018-05-23 12:40:00,2018-06-07 09:40:00,1
40,2018-06-07 09:40:00,2018-06-08 11:20:00,0
41,2018-06-08 11:20:00,2018-06-14 20:30:00,1
42,2018-06-14 20:30:00,2018-06-19 17:30:00,0
43,2018-06-19 17:30:00,2018-06-21 06:00:00,1
44,2018-06-21 06:00:00,2018-06-28 15:30:00,0
45,2018-06-28 15:30:00,2018-07-18 04:00:00,1
46,2018-07-18 04:00:00,2018-07-23 16:50:00,0
47,2018-07-23 16:50:00,2018-07-25 23:00:00,1
48,2018-07-25 23:00:00,2018-07-30 19:40:00,0
49,2018-07-30 19:40:00,2018-08-09 20:50:00,1
50,2018-08-09 20:50:00,2018-08-15 17:30:00,0
51,2018-08-15 17:30:00,2018-08-30 20:20:00,1
52,2018-08-30 20:20:00,2018-09-07 16:00:00,0
53,2018-09-07 16:00:00,2018-09-14 10:30:00,1
54,2018-09-14 10:30:00,2018-09-18 02:50:00,0
55,2018-09-18 02:50:00,2018-10-01 17:00:00,1
56,2018-10-01 17:00:00,2018-10-11 21:40:00,0
57,2018-10-11 21:40:00,2018-10-17 09:40:00,1
58,2018-10-17 09:40:00,2018-10-29 22:40:00,0
59,2018-10-29 22:40:00,2018-11-08 03:20:00,1
60,2018-11-08 03:20:00,2018-11-15 17:30:00,0
61,2018-11-15 17:30:00,2018-11-19 10:30:00,1
62,2018-11-19 10:30:00,2018-11-20 17:10:00,0
63,2018-11-20 17:10:00,2018-12-03 10:20:00,1
64,2018-12-03 10:20:00,2018-12-10 18:20:00,0
65,2018-12-10 18:20:00,2018-12-12 20:10:00,1
66,2018-12-12 20:10:00,2018-12-24 20:10:00,0
67,2018-12-24 20:10:00,2019-01-02 20:40:00,1
68,2019-01-02 20:40:00,2019-01-04 02:10:00,0
69,2019-01-04 02:10:00,2019-01-09 21:00:00,1
70,2019-01-09 21:00:00,2019-01-14 16:30:00,0
71,2019-01-14 16:30:00,2019-01-18 19:40:00,1
72,2019-01-18 19:40:00,2019-01-23 19:10:00,0
73,2019-01-23 19:10:00,2019-01-25 19:40:00,1
74,2019-01-25 19:40:00,2019-01-29 17:50:00,0
75,2019-01-29 17:50:00,2019-02-06 16:30:00,1
76,2019-02-06 16:30:00,2019-02-08 17:20:00,0
77,2019-02-08 17:20:00,2019-02-21 05:40:00,1
78,2019-02-21 05:40:00,2019-02-21 17:10:00,0
79,2019-02-21 17:10:00,2019-03-04 16:40:00,1
80,2019-03-04 16:40:00,2019-03-08 16:00:00,0
81,2019-03-08 16:00:00,2019-03-22 03:10:00,1
82,2019-03-22 03:10:00,2019-03-27 18:40:00,0
83,2019-03-27 18:40:00,2019-04-25 15:20:00,1
84,2019-04-25 15:20:00,2019-04-30 18:10:00,0
85,2019-04-30 18:10:00,2019-05-01 21:00:00,1
86,2019-05-01 21:00:00,2019-05-02 18:50:00,0
87,2019-05-02 18:50:00,2019-05-03 23:40:00,1
88,2019-05-03 23:40:00,2019-05-14 01:00:00,0
89,2019-05-14 01:00:00,2019-05-16 19:10:00,1
90,2019-05-16 19:10:00,2019-06-03 22:30:00,0
91,2019-06-03 22:30:00,2019-06-20 15:30:00,1
92,2019-06-20 15:30:00,2019-06-25 22:50:00,0
93,2019-06-25 22:50:00,2019-07-05 01:20:00,1
94,2019-07-05 01:20:00,2019-07-09 11:00:00,0
95,2019-07-09 11:00:00,2019-07-16 08:50:00,1
96,2019-07-16 08:50:00,2019-07-19 23:40:00,0
97,2019-07-19 23:40:00,2019-07-24 23:00:00,1
98,2019-07-24 23:00:00,2019-08-06 02:40:00,0
99,2019-08-06 02:40:00,2019-08-13 17:20:00,1
100,2019-08-13 17:20:00,2019-08-15 13:40:00,0
101,2019-08-15 13:40:00,2019-08-22 01:10:00,1
102,2019-08-22 01:10:00,2019-08-26 01:00:00,0
103,2019-08-26 01:00:00,2019-09-12 17:10:00,1
104,2019-09-12 17:10:00,2019-10-03 17:00:00,0
105,2019-10-03 17:00:00,2019-10-07 20:30:00,1
106,2019-10-07 20:30:00,2019-10-10 01:50:00,0
107,2019-10-10 01:50:00,2019-10-17 13:10:00,1
108,2019-10-17 13:10:00,2019-10-23 03:10:00,0
109,2019-10-23 03:10:00,2019-11-19 13:00:00,1
110,2019-11-19 13:00:00,2019-11-20 20:10:00,0
111,2019-11-20 20:10:00,2019-12-02 10:50:00,1
112,2019-12-02 10:50:00,2019-12-03 16:50:00,0
113,2019-12-03 16:50:00,2020-01-03 01:10:00,1
114,2020-01-03 01:10:00,2020-01-08 02:40:00,0
115,2020-01-08 02:40:00,2020-01-24 10:50:00,1
116,2020-01-24 10:50:00,2020-01-27 16:30:00,0
117,2020-01-27 16:30:00,2020-01-31 03:10:00,1
118,2020-01-31 03:10:00,2020-01-31 22:40:00,0
119,2020-01-31 22:40:00,2020-02-20 02:00:00,1
120,2020-02-20 02:00:00,2020-02-28 16:30:00,0
121,2020-02-28 16:30:00,2020-03-03 17:00:00,1
122,2020-03-03 17:00:00,2020-03-23 02:30:00,0
123,2020-03-23 02:30:00,2020-03-31 17:40:00,1
124,2020-03-31 17:40:00,2020-04-02 16:10:00,0
125,2020-04-02 16:10:00,2020-04-17 02:00:00,1
126,2020-04-17 02:00:00,2020-04-21 18:40:00,0
127,2020-04-21 18:40:00,2020-04-30 07:30:00,1
128,2020-04-30 07:30:00,2020-05-04 03:50:00,0
129,2020-05-04 03:50:00,2020-05-12 16:30:00,1
130,2020-05-12 16:30:00,2020-05-14 17:30:00,0
131,2020-05-14 17:30:00,2020-05-21 16:40:00,1
132,2020-05-21 16:40:00,2020-05-22 10:10:00,0
133,2020-05-22 10:10:00,2020-05-26 09:40:00,1
134,2020-05-26 09:40:00,2020-05-27 17:40:00,0
135,2020-05-27 17:40:00,2020-06-10 22:30:00,1
136,2020-06-10 22:30:00,2020-06-15 09:40:00,0
137,2020-06-15 09:40:00,2020-06-23 20:50:00,1
138,2020-06-23 20:50:00,2020-06-29 16:40:00,0
139,2020-06-29 16:40:00,2020-07-13 18:30:00,1
140,2020-07-13 18:30:00,2020-07-14 17:10:00,0
141,2020-07-14 17:10:00,2020-07-21 11:10:00,1
142,2020-07-21 11:10:00,2020-07-24 16:40:00,0
143,2020-07-24 16:40:00,2020-08-07 03:20:00,1
144,2020-08-07 03:20:00,2020-08-11 22:50:00,0
145,2020-08-11 22:50:00,2020-09-02 12:50:00,1
146,2020-09-02 12:50:00,2020-09-09 01:10:00,0
147,2020-09-09 01:10:00,2020-09-16 13:50:00,1
148,2020-09-16 13:50:00,2020-09-21 17:40:00,0
149,2020-09-21 17:40:00,2020-10-01 22:00:00,1
150,2020-10-01 22:00:00,2020-10-06 23:50:00,0
151,2020-10-06 23:50:00,2020-10-13 13:30:00,1
152,2020-10-13 13:30:00,2020-11-02 20:50:00,0
153,2020-11-02 20:50:00,2020-11-09 06:30:00,1
154,2020-11-09 06:30:00,2020-11-10 17:40:00,0
155,2020-11-10 17:40:00,2020-11-17 01:00:00,1
156,2020-11-17 01:00:00,2020-11-19 11:00:00,0
157,2020-11-19 11:00:00,2020-12-09 01:00:00,1
158,2020-12-09 01:00:00,2020-12-10 16:30:00,0
159,2020-12-10 16:30:00,2020-12-18 16:20:00,1
160,2020-12-18 16:20:00,2020-12-21 17:40:00,0
161,2020-12-21 17:40:00,2021-01-04 11:30:00,1
162,2021-01-04 11:30:00,2021-01-06 10:40:00,0
163,2021-01-06 10:40:00,2021-01-08 23:50:00,1
164,2021-01-08 23:50:00,2021-01-18 02:00:00,0
165,2021-01-18 02:00:00,2021-01-26 23:10:00,1
166,2021-01-26 23:10:00,2021-02-01 01:10:00,0
167,2021-02-01 01:10:00,2021-02-10 09:40:00,1
168,2021-02-10 09:40:00,2021-02-10 17:40:00,0
169,2021-02-10 17:40:00,2021-02-16 03:40:00,1
170,2021-02-16 03:40:00,2021-03-05 18:20:00,0
171,2021-03-05 18:20:00,2021-03-16 17:50:00,1
172,2021-03-16 17:50:00,2021-03-25 18:20:00,0
173,2021-03-25 18:20:00,2021-04-16 15:10:00,1
174,2021-04-16 15:10:00,2021-04-21 16:40:00,0
175,2021-04-21 16:40:00,2021-04-29 15:50:00,1
176,2021-04-29 15:50:00,2021-05-04 18:50:00,0
177,2021-05-04 18:50:00,2021-05-07 15:40:00,1
178,2021-05-07 15:40:00,2021-05-13 11:50:00,0
179,2021-05-13 11:50:00,2021-05-17 01:10:00,1
180,2021-05-17 01:10:00,2021-05-19 16:10:00,0
181,2021-05-19 16:10:00,2021-06-01 16:40:00,1
182,2021-06-01 16:40:00,2021-06-03 16:50:00,0
183,2021-06-03 16:50:00,2021-06-15 04:10:00,1
184,2021-06-15 04:10:00,2021-06-16 21:40:00,0
185,2021-06-16 21:40:00,2021-07-07 16:30:00,1
186,2021-07-07 16:30:00,2021-07-08 16:40:00,0
187,2021-07-08 16:40:00,2021-07-14 17:00:00,1
188,2021-07-14 17:00:00,2021-07-19 17:30:00,0
189,2021-07-19 17:30:00,2021-07-26 19:00:00,1
190,2021-07-26 19:00:00,2021-07-27 20:20:00,0
191,2021-07-27 20:20:00,2021-08-05 22:50:00,1
192,2021-08-05 22:50:00,2021-08-19 11:20:00,0
193,2021-08-19 11:20:00,2021-09-06 10:20:00,1
194,2021-09-06 10:20:00,2021-09-20 22:10:00,0
195,2021-09-20 22:10:00,2021-09-27 09:00:00,1
196,2021-09-27 09:00:00,2021-10-04 20:00:00,0
197,2021-10-04 20:00:00,2021-10-07 19:00:00,1
198,2021-10-07 19:00:00,2021-10-12 23:20:00,0
199,2021-10-12 23:20:00,2021-10-21 22:50:00,1
200,2021-10-21 22:50:00,2021-10-22 18:40:00,0
201,2021-10-22 18:40:00,2021-11-05 16:30:00,1
202,2021-11-05 16:30:00,2021-11-10 21:40:00,0
203,2021-11-10 21:40:00,2021-11-22 17:10:00,1
204,2021-11-22 17:10:00,2021-11-26 19:50:00,0
205,2021-11-26 19:50:00,2021-11-30 17:10:00,1
206,2021-11-30 17:10:00,2021-12-03 22:00:00,0
207,2021-12-03 22:00:00,2021-12-08 13:40:00,1
208,2021-12-08 13:40:00,2021-12-14 19:40:00,0
209,2021-12-14 19:40:00,2021-12-16 13:40:00,1
210,2021-12-16 13:40:00,2021-12-20 18:30:00,0
211,2021-12-20 18:30:00,2021-12-28 14:40:00,1
212,2021-12-28 14:40:00,2022-01-10 17:40:00,0
213,2022-01-10 17:40:00,2022-01-12 17:10:00,1
214,2022-01-12 17:10:00,2022-01-24 19:10:00,0
215,2022-01-24 19:10:00,2022-02-02 14:20:00,1
216,2022-02-02 14:20:00,2022-02-04 16:00:00,0
217,2022-02-04 16:00:00,2022-02-09 23:20:00,1
218,2022-02-09 23:20:00,2022-02-24 09:20:00,0
219,2022-02-24 09:20:00,2022-03-03 16:10:00,1
220,2022-03-03 16:10:00,2022-03-08 08:20:00,0
221,2022-03-08 08:20:00,2022-03-11 13:20:00,1
222,2022-03-11 13:20:00,2022-03-15 12:10:00,0
223,2022-03-15 12:10:00,2022-03-29 22:30:00,1
224,2022-03-29 22:30:00,2022-04-18 02:40:00,0
225,2022-04-18 02:40:00,2022-04-20 14:50:00,1
226,2022-04-20 14:50:00,2022-05-02 21:40:00,0
227,2022-05-02 21:40:00,2022-05-04 22:50:00,1
228,2022-05-04 22:50:00,2022-05-12 21:40:00,0
229,2022-05-12 21:40:00,2022-05-18 01:10:00,1
230,2022-05-18 01:10:00,2022-05-20 20:30:00,0
231,2022-05-20 20:30:00,2022-05-30 12:30:00,1
232,2022-05-30 12:30:00,2022-06-02 16:30:00,0
233,2022-06-02 16:30:00,2022-06-03 01:10:00,1
234,2022-06-03 01:10:00,2022-06-16 21:50:00,0
235,2022-06-16 21:50:00,2022-06-27 11:00:00,1
236,2022-06-27 11:00:00,2022-06-30 17:00:00,0
237,2022-06-30 17:00:00,2022-07-08 18:20:00,1
238,2022-07-08 18:20:00,2022-07-13 15:40:00,0
239,2022-07-13 15:40:00,2022-07-22 16:50:00,1
240,2022-07-22 16:50:00,2022-07-26 23:00:00,0
241,2022-07-26 23:00:00,2022-08-08 17:00:00,1
242,2022-08-08 17:00:00,2022-08-09 19:20:00,0
243,2022-08-09 19:20:00,2022-08-16 21:10:00,1
244,2022-08-16 21:10:00,2022-08-23 09:30:00,0
245,2022-08-23 09:30:00,2022-08-26 16:00:00,1
246,2022-08-26 16:00:00,2022-09-07 03:20:00,0
247,2022-09-07 03:20:00,2022-09-13 15:30:00,1
248,2022-09-13 15:30:00,2022-09-21 21:00:00,0
249,2022-09-21 21:00:00,2022-09-21 21:40:00,1
250,2022-09-21 21:40:00,2022-09-28 13:00:00,0
251,2022-09-28 13:00:00,2022-09-28 22:40:00,1
252,2022-09-28 22:40:00,2022-10-03 03:50:00,0
253,2022-10-03 03:50:00,2022-10-06 03:20:00,1
254,2022-10-06 03:20:00,2022-10-13 16:30:00,0
255,2022-10-13 16:30:00,2022-10-18 16:30:00,1
256,2022-10-18 16:30:00,2022-10-21 15:50:00,0
257,2022-10-21 15:50:00,2022-10-25 23:00:00,1
258,2022-10-25 23:00:00,2022-11-04 15:30:00,0
259,2022-11-04 15:30:00,2022-11-15 15:30:00,1
260,2022-11-15 15:30:00,2022-11-17 16:20:00,0
261,2022-11-17 16:20:00,2022-11-24 14:00:00,1
262,2022-11-24 14:00:00,2022-11-29 18:20:00,0
263,2022-11-29 18:20:00,2022-12-01 17:00:00,1
264,2022-12-01 17:00:00,2022-12-07 14:30:00,0
265,2022-12-07 14:30:00,2022-12-13 15:30:00,1
